Start of debug log: Wed, 27 Nov 2024 15:16:13 GMT
[Wed, 27 Nov 2024 23:04:30 GMT] Audio is now buffering!

[Wed, 27 Nov 2024 23:04:30 GMT] Audio is now playing!

[Wed, 27 Nov 2024 23:04:34 GMT] Created buffer file (./src/archive/lyhoyvASJXA-temp_audio.pcm) for song (lyhoyvASJXA).

[Wed, 27 Nov 2024 23:07:06 GMT] Removed temp audio file (./src/temp/bCk72-ccQvU-temp_audio.pcm)

[Wed, 27 Nov 2024 23:07:10 GMT] Created buffer file (./src/temp/lyhoyvASJXA-temp_audio.pcm) for song (lyhoyvASJXA).

[Wed, 27 Nov 2024 23:07:10 GMT] Audio is now buffering!

[Wed, 27 Nov 2024 23:07:10 GMT] Audio is now playing!

[Wed, 27 Nov 2024 23:07:13 GMT] Created buffer file (./src/archive/x-xk3V8W-sU-temp_audio.pcm) for song (x-xk3V8W-sU).

[Wed, 27 Nov 2024 23:09:13 GMT] Removed temp audio file (./src/temp/lyhoyvASJXA-temp_audio.pcm)

[Wed, 27 Nov 2024 23:09:16 GMT] Created buffer file (./src/temp/x-xk3V8W-sU-temp_audio.pcm) for song (x-xk3V8W-sU).

[Wed, 27 Nov 2024 23:09:16 GMT] Audio is now buffering!

[Wed, 27 Nov 2024 23:09:16 GMT] Audio is now playing!

[Wed, 27 Nov 2024 23:10:00 GMT] Cleared temp folder (./src/temp).

[Wed, 27 Nov 2024 23:26:12 GMT] Created buffer file (./src/temp/x3pNGNJzlT0-temp_audio.pcm) for song (x3pNGNJzlT0).

[Wed, 27 Nov 2024 23:26:12 GMT] Audio is now buffering!

[Wed, 27 Nov 2024 23:26:12 GMT] Audio is now playing!

[Wed, 27 Nov 2024 23:43:09 GMT] Cleared temp folder (./src/temp).

[Wed, 27 Nov 2024 23:43:21 GMT] Cleared the queue for bot (1310116919403216997).

[Wed, 27 Nov 2024 23:51:57 GMT] Created buffer file (./src/temp/EIT8x1IXbuo-temp_audio.pcm) for song (EIT8x1IXbuo).

[Wed, 27 Nov 2024 23:51:57 GMT] Audio is now buffering!

[Wed, 27 Nov 2024 23:51:57 GMT] Audio is now playing!

[Wed, 27 Nov 2024 23:53:03 GMT] Created buffer file (./src/temp/EIT8x1IXbuo-temp_audio.pcm) for song (EIT8x1IXbuo).

[Wed, 27 Nov 2024 23:53:03 GMT] Audio is now buffering!

[Wed, 27 Nov 2024 23:53:03 GMT] Audio is now playing!

[Wed, 27 Nov 2024 23:54:04 GMT] Created buffer file (./src/archive/EONMguszVek-temp_audio.pcm) for song (EONMguszVek).

[Wed, 27 Nov 2024 23:54:09 GMT] Created buffer file (./src/temp/EONMguszVek-temp_audio.pcm) for song (EONMguszVek).

[Wed, 27 Nov 2024 23:54:09 GMT] Audio is now buffering!

[Wed, 27 Nov 2024 23:54:09 GMT] Audio is now playing!

