Start of debug log: Mon, 25 Nov 2024 11:28:27 GMT
Format: [Timestamp] Message

[Tue, 26 Nov 2024 02:05:32 GMT] Created buffer file (./src/temp/A7nywWRDElM-temp_audio.pcm) for song (A7nywWRDElM).

[Tue, 26 Nov 2024 02:05:32 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 02:05:32 GMT] Audio is now playing!

[Tue, 26 Nov 2024 02:05:36 GMT] Created buffer file (./src/temp/A7nywWRDElM-temp_audio.pcm) for song (A7nywWRDElM).

[Tue, 26 Nov 2024 02:08:41 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 02:08:48 GMT] Created buffer file (./src/temp/FfzOjO6TdKY-temp_audio.pcm) for song (FfzOjO6TdKY).

[Tue, 26 Nov 2024 02:08:48 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 02:08:48 GMT] Audio is now playing!

[Tue, 26 Nov 2024 02:09:10 GMT] Added song (mTpZhwBqRK8).

[Tue, 26 Nov 2024 02:09:13 GMT] Created buffer file (./src/temp/mTpZhwBqRK8-temp_audio.pcm) for song (mTpZhwBqRK8).

[Tue, 26 Nov 2024 02:10:25 GMT] Removed temp audio file (./src/temp/FfzOjO6TdKY-temp_audio.pcm)

[Tue, 26 Nov 2024 02:10:27 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 02:10:27 GMT] Audio is now playing!

[Tue, 26 Nov 2024 02:10:31 GMT] Created buffer file (./src/temp/mTpZhwBqRK8-temp_audio.pcm) for song (mTpZhwBqRK8).

[Tue, 26 Nov 2024 02:11:01 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 02:11:05 GMT] Created buffer file (./src/temp/mTpZhwBqRK8-temp_audio.pcm) for song (mTpZhwBqRK8).

[Tue, 26 Nov 2024 02:11:06 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 02:11:06 GMT] Audio is now playing!

[Tue, 26 Nov 2024 02:11:25 GMT] Created buffer file (./src/temp/FfzOjO6TdKY-temp_audio.pcm) for song (FfzOjO6TdKY).

[Tue, 26 Nov 2024 02:12:56 GMT] Removed temp audio file (./src/temp/mTpZhwBqRK8-temp_audio.pcm)

[Tue, 26 Nov 2024 02:12:59 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 02:12:59 GMT] Audio is now playing!

[Tue, 26 Nov 2024 02:14:35 GMT] Audio has finished playing.

[Tue, 26 Nov 2024 02:25:58 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 02:26:03 GMT] Created buffer file (./src/temp/FfzOjO6TdKY-temp_audio.pcm) for song (FfzOjO6TdKY).

[Tue, 26 Nov 2024 02:26:04 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 02:26:04 GMT] Audio is now playing!

[Tue, 26 Nov 2024 02:27:42 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 02:27:46 GMT] Created buffer file (./src/temp/FfzOjO6TdKY-temp_audio.pcm) for song (FfzOjO6TdKY).

[Tue, 26 Nov 2024 02:27:48 GMT] Audio is now buffering!

