Start of debug log: Tue, 26 Nov 2024 06:04:50 GMT
[Tue, 26 Nov 2024 14:29:13 GMT] Audio is now playing!

[Tue, 26 Nov 2024 14:29:28 GMT] Cleared the queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 14:29:28 GMT] Audio has finished playing.

[Tue, 26 Nov 2024 14:29:53 GMT] Cleared temp folder (./src/temp).

[Tue, 26 Nov 2024 14:30:01 GMT] Created buffer file (./src/temp/KpkHydjPgZg-temp_audio.pcm) for song (KpkHydjPgZg).

[Tue, 26 Nov 2024 14:30:01 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 14:30:01 GMT] Audio is now playing!

[Tue, 26 Nov 2024 14:30:17 GMT] Cleared temp folder (./src/temp).

[Tue, 26 Nov 2024 14:30:17 GMT] Cleared the queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 14:30:17 GMT] Audio has finished playing.
