Start of debug log: Tue, 07 Jan 2025 09:23:57 GMT
[Tue, 07 Jan 2025 09:59:35 GMT] Audio has finished playing.

[Tue, 07 Jan 2025 09:59:35 GMT] Cleared the queue for bot (1310116919403216997).

[Tue, 07 Jan 2025 10:00:08 GMT] Added song (BMaT2nGaEVg).

[Tue, 07 Jan 2025 10:00:09 GMT] Created audio stream for song (BMaT2nGaEVg).

[Tue, 07 Jan 2025 10:00:09 GMT] Audio is now buffering!

[Tue, 07 Jan 2025 10:00:09 GMT] Audio is now playing!

[Tue, 07 Jan 2025 10:00:29 GMT] Created audio stream for song (IIsWmB28AdM).

[Tue, 07 Jan 2025 10:00:29 GMT] Audio is now buffering!

[Tue, 07 Jan 2025 10:00:29 GMT] Audio is now playing!

[Tue, 07 Jan 2025 10:00:33 GMT] Created audio stream for song (iLhGzrecpQ4).

[Tue, 07 Jan 2025 10:00:33 GMT] Audio is now buffering!

[Tue, 07 Jan 2025 10:00:33 GMT] Audio is now playing!

[Tue, 07 Jan 2025 10:00:59 GMT] Created audio stream for song (FrARlI83tjA).

[Tue, 07 Jan 2025 10:00:59 GMT] Audio is now buffering!

[Tue, 07 Jan 2025 10:00:59 GMT] Audio is now playing!

[Tue, 07 Jan 2025 10:01:01 GMT] Added song (NoBAfjvhj7o).

[Tue, 07 Jan 2025 10:01:05 GMT] Creating buffer file for song (NoBAfjvhj7o).

[Tue, 07 Jan 2025 10:01:07 GMT] Created buffer file (./src/temp/NoBAfjvhj7o-temp_audio.pcm) for song (NoBAfjvhj7o).

[Tue, 07 Jan 2025 10:01:07 GMT] Copied buffer file (./src/temp/NoBAfjvhj7o-temp_audio.pcm) to archive folder.

[Tue, 07 Jan 2025 10:01:11 GMT] Created audio stream for song (NoBAfjvhj7o).

[Tue, 07 Jan 2025 10:01:11 GMT] Audio is now buffering!

[Tue, 07 Jan 2025 10:01:11 GMT] Audio is now playing!

[Tue, 07 Jan 2025 10:01:13 GMT] Added song (P5nu_C2_xzQ).

[Tue, 07 Jan 2025 10:01:16 GMT] Creating buffer file for song (P5nu_C2_xzQ).

[Tue, 07 Jan 2025 10:01:18 GMT] Removed temp audio file (./src/temp/NoBAfjvhj7o-temp_audio.pcm)

[Tue, 07 Jan 2025 10:01:22 GMT] Creating buffer file for song (P5nu_C2_xzQ).

[Tue, 07 Jan 2025 10:01:39 GMT] Created audio stream for song (P5nu_C2_xzQ).

[Tue, 07 Jan 2025 10:01:39 GMT] Audio is now buffering!

[Tue, 07 Jan 2025 10:01:39 GMT] Audio is now playing!

[Tue, 07 Jan 2025 10:01:41 GMT] Added song (3HCtJ5m96YE).

[Tue, 07 Jan 2025 10:01:46 GMT] Creating buffer file for song (3HCtJ5m96YE).

[Tue, 07 Jan 2025 10:01:47 GMT] Created buffer file (./src/temp/3HCtJ5m96YE-temp_audio.pcm) for song (3HCtJ5m96YE).

[Tue, 07 Jan 2025 10:01:47 GMT] Copied buffer file (./src/temp/3HCtJ5m96YE-temp_audio.pcm) to archive folder.

[Tue, 07 Jan 2025 10:04:10 GMT] Audio has finished playing.

[Tue, 07 Jan 2025 10:07:17 GMT] Cleared temp folder (./src/temp).

[Tue, 07 Jan 2025 10:09:15 GMT] Added song (BV64jJwvTUQ).

[Tue, 07 Jan 2025 10:09:51 GMT] Added song (HJuRdJ3_l-Q).

[Tue, 07 Jan 2025 10:10:06 GMT] Added song (5GPlK8dRvps).

[Tue, 07 Jan 2025 10:10:25 GMT] Added song (t6F2xd2BjHM).

[Tue, 07 Jan 2025 10:12:20 GMT] Creating buffer file for song (BV64jJwvTUQ).

[Tue, 07 Jan 2025 10:12:20 GMT] Creating buffer file for song (5GPlK8dRvps).

[Tue, 07 Jan 2025 10:12:24 GMT] Created buffer file (./src/temp/BV64jJwvTUQ-temp_audio.pcm) for song (BV64jJwvTUQ).

[Tue, 07 Jan 2025 10:12:24 GMT] Copied buffer file (./src/temp/BV64jJwvTUQ-temp_audio.pcm) to archive folder.

[Tue, 07 Jan 2025 10:12:25 GMT] Created audio stream for song (5GPlK8dRvps).

[Tue, 07 Jan 2025 10:12:26 GMT] Audio is now buffering!

[Tue, 07 Jan 2025 10:12:26 GMT] Created buffer file (./src/temp/5GPlK8dRvps-temp_audio.pcm) for song (5GPlK8dRvps).

[Tue, 07 Jan 2025 10:12:26 GMT] Copied buffer file (./src/temp/5GPlK8dRvps-temp_audio.pcm) to archive folder.

[Tue, 07 Jan 2025 10:12:26 GMT] Audio is now playing!

[Tue, 07 Jan 2025 10:12:44 GMT] Removed temp audio file (./src/temp/5GPlK8dRvps-temp_audio.pcm)

[Tue, 07 Jan 2025 10:12:44 GMT] Created audio stream for song (BV64jJwvTUQ).

[Tue, 07 Jan 2025 10:12:44 GMT] Audio is now buffering!

[Tue, 07 Jan 2025 10:12:44 GMT] Audio is now playing!

[Tue, 07 Jan 2025 10:12:48 GMT] Creating buffer file for song (t6F2xd2BjHM).

[Tue, 07 Jan 2025 10:12:49 GMT] Created buffer file (./src/temp/t6F2xd2BjHM-temp_audio.pcm) for song (t6F2xd2BjHM).

[Tue, 07 Jan 2025 10:12:50 GMT] Copied buffer file (./src/temp/t6F2xd2BjHM-temp_audio.pcm) to archive folder.

[Tue, 07 Jan 2025 10:12:55 GMT] Removed temp audio file (./src/temp/BV64jJwvTUQ-temp_audio.pcm)

[Tue, 07 Jan 2025 10:12:55 GMT] Created audio stream for song (t6F2xd2BjHM).

[Tue, 07 Jan 2025 10:12:55 GMT] Audio is now buffering!

[Tue, 07 Jan 2025 10:12:55 GMT] Audio is now playing!

[Tue, 07 Jan 2025 10:13:02 GMT] Audio has finished playing.

[Tue, 07 Jan 2025 10:30:35 GMT] Creating buffer file for song (-ybnOHBNZyA).

[Tue, 07 Jan 2025 10:30:38 GMT] Created audio stream for song (-ybnOHBNZyA).

[Tue, 07 Jan 2025 10:30:38 GMT] Audio is now buffering!

[Tue, 07 Jan 2025 10:30:38 GMT] Created buffer file (./src/temp/-ybnOHBNZyA-temp_audio.pcm) for song (-ybnOHBNZyA).

[Tue, 07 Jan 2025 10:30:38 GMT] Copied buffer file (./src/temp/-ybnOHBNZyA-temp_audio.pcm) to archive folder.

[Tue, 07 Jan 2025 10:30:38 GMT] Audio is now playing!

[Tue, 07 Jan 2025 10:33:08 GMT] Removed temp audio file (./src/temp/-ybnOHBNZyA-temp_audio.pcm)

[Tue, 07 Jan 2025 10:33:09 GMT] Created audio stream for song (2Pzkh0qr48Y).

[Tue, 07 Jan 2025 10:33:09 GMT] Audio is now buffering!

[Tue, 07 Jan 2025 10:33:09 GMT] Audio is now playing!

[Tue, 07 Jan 2025 10:46:15 GMT] Created audio stream for song (2Pzkh0qr48Y).

[Tue, 07 Jan 2025 10:46:16 GMT] Audio is now buffering!

[Tue, 07 Jan 2025 10:46:16 GMT] Audio is now playing!

[Tue, 07 Jan 2025 10:46:37 GMT] Audio is now paused!
